timestamp,vesc_id,duty_cycle
1753359793.208616734,46,0.1140
1753359793.210631371,28,0.1060
1753359793.228207111,46,0.1120
1753359793.229964972,28,0.1060
1753359793.248208046,46,0.1140
1753359793.249954700,28,0.1140
1753359793.268944502,46,0.1140
1753359793.270007133,28,0.1090
1753359793.288032770,46,0.1090
1753359793.290058851,28,0.1090
1753359793.308207989,46,0.0890
1753359793.309993744,28,0.1090
1753359793.328834772,46,0.1090
1753359793.329950809,28,0.1090
1753359793.347890139,46,0.1090
1753359793.349770784,28,0.1090
1753359793.368210316,46,0.1090
1753359793.369956017,28,0.1090
1753359793.387742519,46,0.1090
1753359793.389639139,28,0.1090
1753359793.407736301,46,0.1090
1753359793.409591913,28,0.1090
1753359793.428019285,46,0.1080
1753359793.429949284,28,0.1090
1753359793.447704077,46,0.1090
1753359793.449529886,28,0.1090
1753359793.468061209,46,0.1090
1753359793.469491243,28,0.1040
1753359793.487491131,46,0.1000
1753359793.489454508,28,0.1040
1753359793.507421255,46,0.1040
1753359793.509398699,28,0.1040
1753359793.527808428,46,0.1010
1753359793.529797792,28,0.1040
1753359793.547641277,46,0.0950
1753359793.549640656,28,0.1040
1753359793.567418814,46,0.1040
1753359793.569230318,28,0.1040
1753359793.587332726,46,0.1040
1753359793.589201450,28,0.0930
1753359793.607257366,46,0.0920
1753359793.609219313,28,0.1040
1753359793.627253294,46,0.1040
1753359793.629236221,28,0.1040
1753359793.647109985,46,0.1040
1753359793.649103642,28,0.1040
1753359793.667095184,46,0.0870
1753359793.669152260,28,0.1040
1753359793.687528133,46,0.0990
1753359793.689166546,28,0.0990
1753359793.707062006,46,0.0990
1753359793.709310293,28,0.0740
1753359793.727105141,46,0.0990
1753359793.729013681,28,0.0980
1753359793.747061491,46,0.0990
1753359793.749252319,28,0.0990
1753359793.767147779,46,0.0990
1753359793.769311905,28,0.0990
1753359793.786798000,46,0.0990
1753359793.789008856,28,0.0990
1753359793.806861162,46,0.0990
1753359793.809043169,28,0.0920
1753359793.826774597,46,0.0990
1753359793.828805208,28,0.0990
1753359793.846773148,46,0.0990
1753359793.848760366,28,0.0990
1753359793.866953135,46,0.0990
1753359793.868829012,28,0.0820
1753359793.886573792,46,0.0940
1753359793.888728619,28,0.0940
1753359793.906612158,46,0.0940
1753359793.908643007,28,0.0940
1753359793.926757336,46,0.0940
1753359793.929128408,28,0.0940
1753359793.946424723,46,0.0940
1753359793.948606730,28,0.0860
1753359793.967111349,46,0.0940
1753359793.968951225,28,0.0940
1753359793.986524343,46,0.0940
1753359793.988796711,28,0.0940
1753359794.006692410,46,0.0940
1753359794.008876324,28,0.0940
1753359794.026634216,46,0.0940
1753359794.028884649,28,0.0940
1753359794.046205282,46,0.0940
1753359794.048411608,28,0.0940
1753359794.066528082,46,0.0940
1753359794.068472385,28,0.0940
1753359794.086182356,46,0.0890
1753359794.088744640,28,0.0890
1753359794.106142521,46,0.0850
1753359794.108261108,28,0.0870
1753359794.126389742,46,0.0730
1753359794.129123211,28,0.0890
1753359794.146062374,46,0.0750
1753359794.148631096,28,0.0860
1753359794.166164637,46,0.0890
1753359794.168351412,28,0.0890
1753359794.186785936,46,0.0890
1753359794.188514233,28,0.0890
1753359794.205912352,46,0.0890
1753359794.208016634,28,0.0870
1753359794.226433754,46,0.0890
1753359794.228009224,28,0.0890
1753359794.245806694,46,0.0890
1753359794.248384476,28,0.0890
1753359794.265771627,46,0.0890
1753359794.267949581,28,0.0890
1753359794.286107540,46,0.0840
1753359794.289098263,28,0.0840
1753359794.305818081,46,0.0840
1753359794.307946444,28,0.0840
1753359794.325515985,46,0.0840
1753359794.327983618,28,0.0840
1753359794.345989227,46,0.0840
1753359794.347833872,28,0.0840
1753359794.365476131,46,0.0840
1753359794.367881298,28,0.0840
1753359794.385452509,46,0.0840
1753359794.387828827,28,0.0840
1753359794.405557156,46,0.0840
1753359794.407748938,28,0.0700
1753359794.425392389,46,0.0840
1753359794.427763939,28,0.0840
1753359794.445759058,46,0.0840
1753359794.447682619,28,0.0840
1753359794.465653181,46,0.0840
1753359794.467825651,28,0.0840
1753359794.485169649,46,0.0790
1753359794.487696409,28,0.0790
1753359794.505915403,46,0.0710
1753359794.507897139,28,0.0790
1753359794.525274038,46,0.0790
1753359794.527793407,28,0.0690
1753359794.545660734,46,0.0790
1753359794.547647238,28,0.0790
1753359794.565224409,46,0.0790
1753359794.567915440,28,0.0790
1753359794.585054398,46,0.0790
1753359794.588490963,28,0.0790
1753359794.605248928,46,0.0790
1753359794.607600689,28,0.0790
1753359794.625190973,46,0.0790
1753359794.627699614,28,0.0790
1753359794.644871712,46,0.0790
1753359794.647593498,28,0.0790
1753359794.665464640,46,0.0790
1753359794.667720556,28,0.0790
1753359794.684791327,46,0.0740
1753359794.687677145,28,0.0710
1753359794.704679489,46,0.0740
1753359794.707405567,28,0.0740
1753359794.724876881,46,0.0740
1753359794.727613211,28,0.0740
1753359794.744741440,46,0.0740
1753359794.747266769,28,0.0740
1753359794.764837027,46,0.0740
1753359794.767267466,28,0.0740
1753359794.784925222,46,0.0740
1753359794.787289858,28,0.0740
1753359794.804492950,46,0.0690
1753359794.807434559,28,0.0740
1753359794.825135946,46,0.0740
1753359794.827394247,28,0.0710
1753359794.844501019,46,0.0740
1753359794.847696781,28,0.0740
1753359794.864235401,46,0.0740
1753359794.867092133,28,0.0740
1753359794.884515524,46,0.0690
1753359794.887285948,28,0.0690
1753359794.904397011,46,0.0690
1753359794.907037735,28,0.0620
1753359794.924103022,46,0.0690
1753359794.926978111,28,0.0640
1753359794.944569588,46,0.0690
1753359794.947769165,28,0.0690
