timestamp,vesc_id,tachometer_raw
1753360022.804065943,46,9988
1753360022.808804274,28,9961
1753360022.824006796,46,9992
1753360022.828786373,28,9964
1753360022.844067335,46,9995
1753360022.848850250,28,9968
1753360022.863893747,46,9999
1753360022.868783474,28,9972
1753360022.883922100,46,10002
1753360022.888766289,28,9975
1753360022.903882265,46,10006
1753360022.908808708,28,9979
1753360022.923763990,46,10009
1753360022.928694963,28,9982
1753360022.943709135,46,10013
1753360022.948662281,28,9986
1753360022.963671446,46,10016
1753360022.968625546,28,9989
1753360022.984158754,46,10020
1753360022.988587856,28,9993
1753360023.003689289,46,10023
1753360023.008745193,28,9996
1753360023.023578405,46,10027
1753360023.028633833,28,10000
1753360023.043512106,46,10030
1753360023.048485994,28,10003
1753360023.063561916,46,10033
1753360023.068779707,28,10007
1753360023.083470106,46,10037
1753360023.088423491,28,10010
1753360023.103590727,46,10040
1753360023.108600616,28,10014
1753360023.123345137,46,10044
1753360023.128308296,28,10017
1753360023.143246412,46,10047
1753360023.148939610,28,10021
1753360023.163206816,46,10050
1753360023.168460608,28,10024
1753360023.183195353,46,10054
1753360023.188316584,28,10027
1753360023.203162432,46,10057
1753360023.208261967,28,10031
1753360023.223130941,46,10060
1753360023.228451490,28,10034
1753360023.243597031,46,10064
1753360023.248195410,28,10037
1753360023.263300419,46,10067
1753360023.268092155,28,10041
1753360023.283030748,46,10070
1753360023.287977695,28,10044
1753360023.302941322,46,10074
1753360023.308439732,28,10048
1753360023.323331594,46,10077
1753360023.327921629,28,10051
1753360023.342806101,46,10080
1753360023.348033428,28,10054
1753360023.362798929,46,10084
1753360023.367851496,28,10057
1753360023.382852077,46,10087
1753360023.387946606,28,10061
1753360023.402624846,46,10090
1753360023.407882929,28,10064
1753360023.422688007,46,10093
1753360023.428677559,28,10067
1753360023.443208694,46,10096
1753360023.447763681,28,10071
1753360023.462636709,46,10100
1753360023.468026638,28,10074
1753360023.482510805,46,10103
1753360023.487629652,28,10077
1753360023.502459764,46,10106
1753360023.507640362,28,10080
1753360023.522450686,46,10109
1753360023.527693272,28,10083
1753360023.542323351,46,10112
1753360023.547526121,28,10087
1753360023.562318563,46,10115
1753360023.567464590,28,10090
1753360023.582262278,46,10119
1753360023.587483406,28,10093
1753360023.602437973,46,10122
1753360023.607581854,28,10096
1753360023.622196198,46,10125
1753360023.627460957,28,10100
1753360023.642084360,46,10128
1753360023.648136616,28,10103
1753360023.662896395,46,10131
1753360023.667274952,28,10106
1753360023.682021379,46,10134
1753360023.687330484,28,10109
1753360023.701956272,46,10137
1753360023.707252264,28,10112
1753360023.722038269,46,10140
1753360023.727174997,28,10115
1753360023.741862774,46,10144
1753360023.747215271,28,10119
1753360023.762271166,46,10147
1753360023.767572641,28,10122
1753360023.781833172,46,10150
1753360023.787141085,28,10125
1753360023.801753998,46,10153
1753360023.807109118,28,10128
1753360023.822221518,46,10156
1753360023.827050924,28,10131
1753360023.841605663,46,10159
1753360023.847005367,28,10134
1753360023.861640215,46,10162
1753360023.866964340,28,10137
1753360023.881995678,46,10165
1753360023.887184381,28,10140
1753360023.901603699,46,10168
1753360023.907282829,28,10143
1753360023.921887159,46,10171
1753360023.926812410,28,10146
1753360023.941915035,46,10174
1753360023.946855068,28,10149
1753360023.961304665,46,10177
